period,depo,part_no,group,demand,forecast,po_md,supply_ahm
2022-11,BDG,10753CDK934,CDKIT,21,20,22,19
2022-01,KRW,42246TAS815,TAS,38,29,37,31
2024-04,CRB,25922PSK279,PSKIT,89,92,100,76
2024-11,CRB,16923BRN878,BRNG3,67,73,78,56
2022-07,CRB,74369OIL478,OIL,193,153,188,140
2024-11,BDG,79690PSK655,PSKIT,49,42,44,38
2024-09,CRB,11033SHO237,SHOCK,51,45,46,34
2024-04,KRW,97922ECX952,EC,40,30,41,35
2025-08,BDG,62231EVC709,EVCH,57,45,52,51
2023-08,KRW,52642MUF100,MUF,40,37,36,36
2024-03,BDG,42776RPI947,RPIST,64,60,68,47
2024-02,KRW,49249BRN454,BRNG3,144,120,151,139
2025-08,KRW,22631SDX884,SD,132,140,132,97
2024-04,CRB,25668GST955,GST,138,140,127,99
2025-08,KRW,98090PST639,PSTN,77,63,78,55
2022-02,BDG,62988TIR746,TIRE,59,47,64,61
2025-02,CRB,82113PSK934,PSKIT,151,144,154,126
2025-02,KRW,66866BRN224,BRNG3,77,69,70,55
2024-07,CRB,15314CRK561,CRKIT,108,81,97,72
2022-06,KRW,98044GMO610,GMO,217,177,221,221
2024-07,CRB,22703CRK243,CRKIT,30,34,33,31
2024-03,BDG,29448PST307,PSTN,127,155,149,141
2025-01,BDG,41008TB1228,TB1,36,35,32,31
2024-05,CRB,84471ECX805,EC,89,76,87,78
2023-05,CRB,39663SDN302,SDN,116,102,123,96
2025-03,BDG,83734CAB537,CABLE,39,45,44,31
2025-08,CRB,71244SAO442,SAOIL,111,117,128,121
2022-04,BDG,56999BRN895,BRNG3,62,73,70,61
2023-04,BDG,88662CDK959,CDKGP,114,112,104,79
2024-03,BDG,60711STR736,STR,119,101,118,111
2024-10,CRB,31536TIR399,TIRE1,110,83,103,76
2025-07,BDG,26510GMO584,GMO,218,199,217,180
2025-11,BDG,35523PST479,PSTN,135,131,125,96
2023-10,BDG,61299EVC183,EVCH,48,53,56,41
2024-02,CRB,52988CAB962,CABLE,49,55,59,44
